sampleid,doi,doilink,TF_mat_complete,L1,L2,L3,L4,Linf,errMax,errMin,Tc_Ts_TEP,Tc_Ts_ZT,Tc_Ts_TEPZT,Th_Ts_TEP,Th_Ts_ZT,Th_Ts_TEPZT,avgZ_raw_on_Ts_ZT,avgZ_TEP_on_Ts_TEP,peakZ_raw_on_Ts_ZT,peakZ_TEP_on_Ts_TEP,davgZ,dpeakZ,avgZT_raw_on_Ts_ZT,avgZT_TEP_on_Ts_TEP,peakZT_raw_on_Ts_ZT,peakZT_TEP_on_Ts_TEP,davgZT,dpeakZT,Linf_over_avgZT,Linf_over_peakZT
1,10.1038/NCHEM.955,https://doi.org/10.1038/NCHEM.955,True,0.012088707492151393,0.014443528760265792,0.016600435818142845,0.018537330941777674,0.036159250104397245,0.036159250104397245,-0.0002998955780398327,299.0,298.0,299.0,824.0,863.0,824.0,0.0016085567256677912,0.0015618700698649811,0.0022113724358036276,0.0021880655360565337,4.668665580281005e-05,2.330689974709395e-05,1.0238369633191802,0.9641954892629696,1.7013629470182425,1.6686115918277915,0.059641474056210564,0.032751355190451026,0.03750199052687682,0.02167026184013772
2,10.1038/nature11439,https://doi.org/10.1038/nature11439,True,-0.030860421013881454,0.05322547728222361,-0.07148195822481054,0.08544518486327198,0.16978656237113343,0.009456783257492218,-0.16978656237113343,302.0,301.0,302.0,916.0,914.0,914.0,0.0017946598787027166,0.0018393781433684228,0.0025475008575330223,0.0026694457491402202,-4.471826466570625e-05,-0.00012194489160719793,1.2059856491554848,1.2423036529164637,2.21339491916859,2.3610557028241828,-0.036318003760978934,-0.14766078365559254,0.13667074227185774,0.07191129043166698
3,10.1038/nature06458,https://doi.org/10.1038/nature06458,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10.1038/ncomms9144,https://doi.org/10.1038/ncomms9144,True,0.014944625328140707,0.01670962936765761,0.017661401332932824,0.018368201207710412,0.02495232867254482,0.02495232867254482,-0.005937796598610934,300.0,300.0,300.0,1200.0,1200.0,1200.0,0.001122859163841916,0.0011008718053833178,0.0012555684210526317,0.0012422637156760232,2.1987358458598312e-05,1.3304705376608475e-05,0.8802722652608214,0.8653276399326807,1.46208,1.4538872323118759,0.01494462532814067,0.008192767688124158,0.02883570051510896,0.01716249246708582
5,10.1002/aenm.201200970,https://doi.org/10.1002/aenm.201200970,True,-0.007145458328991748,0.015590900887374083,-0.015224073164492825,0.02020184728888495,0.040956614481503895,0.030908371222392317,-0.040956614481503895,329.0,379.0,379.0,714.0,715.0,714.0,0.0025365013737428466,0.002332820340443879,0.0034652570491153804,0.003484738761541946,0.00020368103329896758,-1.948171242656567e-05,1.4621063947435906,1.3180431787407083,2.2965,2.3063505835931126,0.1440632160028823,-0.009850583593112638,0.03107380330334464,0.01775819113228515
6,10.1002/adma.201501030,https://doi.org/10.1002/adma.201501030,True,-0.0025032536509622767,0.014648679107918934,-0.00794296368897128,0.01955743533557474,0.05071431951093874,0.03009453843120058,-0.05071431951093874,298.0,299.0,299.0,998.0,1001.0,998.0,0.0009351289538904636,0.0009359215532084622,0.00208999000999001,0.0021329342939926366,-7.925993179985508e-07,-4.294428400262659e-05,0.7296752809856324,0.725414299298554,2.09208,2.1286684254046513,0.004260981687078336,-0.036588425404651126,0.06991083517374473,0.02382443357814083
7,10.1126/science.1159725,https://doi.org/10.1126/science.1159725,True,0.010562437235427396,0.025994544479979766,0.030341618094650646,0.0345323575163751,0.05957030282558562,0.05957030282558562,-0.019404434030428075,296.0,300.0,300.0,765.0,771.0,765.0,0.001392125333808109,0.0013650282774566808,0.0019961959574225133,0.001981805131790268,2.7097056351428096e-05,1.4390825632245273e-05,0.8185884929168264,0.7932797661304917,1.51142,1.464097922499613,0.02530872678633478,0.04732207750038708,0.0750936874592948,0.04068737610383527
8,10.1126/science.1092963,https://doi.org/10.1126/science.1092963,True,-0.027298163874498745,0.03927529950885011,-0.04691423867208982,0.05570294883367309,0.13242617796426015,0.044860964184483265,-0.13242617796426015,321.0,300.0,321.0,773.0,799.0,773.0,0.00229164863407597,0.0023532046799255705,0.002647534418022528,0.0026589944771115283,-6.155604584960053e-05,-1.1460059089000215e-05,1.297575843617642,1.3178984961346187,2.11538,2.0042012657217683,-0.020322652516976625,0.11117873427823177,0.10048283563010704,0.06607429115487053
9,10.1038/am.2013.86,https://doi.org/10.1038/am.2013.86,True,0.007626527524498171,0.013638156273968785,0.0144704173601102,0.016839823393575915,0.03111891821076096,0.03111891821076096,-0.02163146773869351,297.0,297.0,297.0,480.0,469.0,469.0,0.0031417239827198082,0.0030584842620835434,0.003682087542087542,0.003685469582627426,8.323972063626478e-05,-3.3820405398840743e-06,1.1806548681488591,1.1607322765744166,1.2546567981900452,1.2687725684417208,0.01992259157444254,-0.014115770251675652,0.026809729374115385,0.024526789895040483
10,10.1039/c5ee02979a,https://doi.org/10.1039/c5ee02979a,True,0.025114096016375355,0.030482606121243806,0.03462780019727919,0.03802223540152907,0.07061529510143338,0.07061529510143338,-0.0011031517272220431,306.0,304.0,306.0,900.0,902.0,900.0,0.0015812217103631956,0.0015458166364555749,0.0021949943731752524,0.002183510374798782,3.5405073907620764e-05,1.1483998376470538e-05,1.0479563311905493,1.0241113038912146,1.7515932140950348,1.7295048643923696,0.023845027299334687,0.022088349702665155,0.06895275428864364,0.04082977536246641
