sampleid,doi,doilink,L1,L2,L3,L4,Linf,errMax,errMin,TF_mat_complete,avgZT_raw_on_Ts_ZT,avgZT_TEP_on_Ts_TEP,peakZT_raw_on_Ts_ZT,peakZT_TEP_on_Ts_TEP,dpeakZT,davgZT
1,10.1038/NCHEM.955,https://doi.org/10.1038/NCHEM.955,0.012088707492151393,0.014443528760265792,0.016600435818142845,0.018537330941777674,0.036159250104397245,0.036159250104397245,-0.0002998955780398327,True,1.0238369633191802,0.9641954892629696,1.7013629470182425,1.6686115918277915,0.032751355190451026,0.059641474056210564
2,10.1038/nature11439,https://doi.org/10.1038/nature11439,-0.030860421013881454,0.05322547728222361,-0.07148195822481054,0.08544518486327198,0.16978656237113343,0.009456783257492218,-0.16978656237113343,True,1.2059856491554848,1.2423036529164637,2.21339491916859,2.3610557028241828,-0.14766078365559254,-0.036318003760978934
3,10.1038/nature06458,https://doi.org/10.1038/nature06458,,,,,,,,False,,,,,,
4,10.1038/ncomms9144,https://doi.org/10.1038/ncomms9144,0.014944625328140707,0.01670962936765761,0.017661401332932824,0.018368201207710412,0.02495232867254482,0.02495232867254482,-0.005937796598610934,True,0.8802722652608214,0.8653276399326807,1.46208,1.4538872323118759,0.008192767688124158,0.01494462532814067
5,10.1002/aenm.201200970,https://doi.org/10.1002/aenm.201200970,-0.007145458328991748,0.015590900887374083,-0.015224073164492825,0.02020184728888495,0.040956614481503895,0.030908371222392317,-0.040956614481503895,True,1.4621063947435906,1.3180431787407083,2.2965,2.3063505835931126,-0.009850583593112638,0.1440632160028823
6,10.1002/adma.201501030,https://doi.org/10.1002/adma.201501030,-0.0025032536509622767,0.014648679107918934,-0.00794296368897128,0.01955743533557474,0.05071431951093874,0.03009453843120058,-0.05071431951093874,True,0.7296752809856324,0.725414299298554,2.09208,2.1286684254046513,-0.036588425404651126,0.004260981687078336
7,10.1126/science.1159725,https://doi.org/10.1126/science.1159725,0.010562437235427396,0.025994544479979766,0.030341618094650646,0.0345323575163751,0.05957030282558562,0.05957030282558562,-0.019404434030428075,True,0.8185884929168264,0.7932797661304917,1.51142,1.464097922499613,0.04732207750038708,0.02530872678633478
8,10.1126/science.1092963,https://doi.org/10.1126/science.1092963,-0.027298163874498745,0.03927529950885011,-0.04691423867208982,0.05570294883367309,0.13242617796426015,0.044860964184483265,-0.13242617796426015,True,1.297575843617642,1.3178984961346187,2.11538,2.0042012657217683,0.11117873427823177,-0.020322652516976625
9,10.1038/am.2013.86,https://doi.org/10.1038/am.2013.86,0.007626527524498171,0.013638156273968785,0.0144704173601102,0.016839823393575915,0.03111891821076096,0.03111891821076096,-0.02163146773869351,True,1.1806548681488591,1.1607322765744166,1.2546567981900452,1.2687725684417208,-0.014115770251675652,0.01992259157444254
10,10.1039/c5ee02979a,https://doi.org/10.1039/c5ee02979a,0.025114096016375355,0.030482606121243806,0.03462780019727919,0.03802223540152907,0.07061529510143338,0.07061529510143338,-0.0011031517272220431,True,1.0479563311905493,1.0241113038912146,1.7515932140950348,1.7295048643923696,0.022088349702665155,0.023845027299334687
